Chem,Herbivore,LiveStemDryWgt_g,Core,NC,Oil,OilCore
Core,NG,46.2102,46.2102,75.0063,42.0884,83.5785
Core,NG,69.2585,69.2585,101.7545,42.5343,71.013
Core,NG,52.16,52.16,61.1251,85.1374,106.0763
Core,NG,33.0139,33.0139,32.8043,19.9614,44.1486
Core,NG,35.1129,35.1129,67.5357,52.036,30.9264
Core,NG,52.2511,52.2511,40.9825,39.0858,23.8065
NC,NG,75.0063,,,,
NC,NG,101.7545,,,,
NC,NG,61.1251,,,,
NC,NG,32.8043,,,,
NC,NG,67.5357,,,,
NC,NG,40.9825,,,,
Oil,NG,42.0884,,,,
Oil,NG,42.5343,,,,
Oil,NG,85.1374,,,,
Oil,NG,19.9614,,,,
Oil,NG,52.036,,,,
Oil,NG,39.0858,,,,
OilCore,NG,83.5785,,,,
OilCore,NG,71.013,,,,
OilCore,NG,106.0763,,,,
OilCore,NG,44.1486,,,,
OilCore,NG,30.9264,,,,
OilCore,NG,23.8065,,,,
Core,P,49.1913,,,,
Core,P,66.6962,,,,
Core,P,62.065,,,,
Core,P,45.6907,,,,
Core,P,85.1998,,,,
Core,P,25.2341,,,,
NC,P,56.2265,,,,
NC,P,44.0975,,,,
NC,P,31.0174,,,,
NC,P,21.3849,,,,
NC,P,62.3415,,,,
NC,P,42.1113,,,,
Oil,P,54.017,,,,
Oil,P,31.1048,,,,
Oil,P,68.855,,,,
Oil,P,4.6286,,,,
Oil,P,39.3667,,,,
Oil,P,105.908,,,,
OilCore,P,108.6425,,,,
OilCore,P,33.3108,,,,
OilCore,P,40.6373,,,,
OilCore,P,69.5742,,,,
OilCore,P,61.2541,,,,
OilCore,P,69.7036,,,,
Core,S,61.415,,,,
Core,S,42.1321,,,,
Core,S,50.7551,,,,
Core,S,52.1903,,,,
Core,S,46.4768,,,,
Core,S,45.3181,,,,
NC,S,60.0721,,,,
NC,S,64.8175,,,,
NC,S,39.9524,,,,
NC,S,51.039,,,,
NC,S,56.1145,,,,
NC,S,61.0445,,,,
Oil,S,39.2725,,,,
Oil,S,48.5146,,,,
Oil,S,60.4231,,,,
Oil,S,38.0438,,,,
Oil,S,99.506,,,,
Oil,S,42.6741,,,,
OilCore,S,118.4569,,,,
OilCore,S,54.1701,,,,
OilCore,S,48.992,,,,
OilCore,S,62.442,,,,
OilCore,S,38.0767,,,,
OilCore,S,34.5694,,,,
Core,SP,58.2863,,,,
Core,SP,22.8211,,,,
Core,SP,74.4204,,,,
Core,SP,37.2732,,,,
Core,SP,45.3232,,,,
Core,SP,39.903,,,,
NC,SP,67.671,,,,
NC,SP,49.5651,,,,
NC,SP,20.4629,,,,
NC,SP,30.5257,,,,
NC,SP,32.6644,,,,
NC,SP,61.4079,,,,
Oil,SP,10.7829,,,,
Oil,SP,30.033,,,,
Oil,SP,26.3512,,,,
Oil,SP,49.9128,,,,
Oil,SP,32.0477,,,,
Oil,SP,63.606,,,,
OilCore,SP,60.8831,,,,
OilCore,SP,80.7662,,,,
OilCore,SP,50.9225,,,,
OilCore,SP,55.8055,,,,
OilCore,SP,14.2285,,,,
OilCore,SP,34.0419,,,,
